Wavelength,Transmission,Interpolated_Intensity,Expected_Counts
3.901661444999999730e+02,0.000000000000000000e+00,1.858611549375992537e-08,0.000000000000000000e+00
3.901748491999999828e+02,8.450000000000000547e-12,1.858987812420064672e-08,1.570844701494954731e-19
3.901835439000000179e+02,0.000000000000000000e+00,1.859363643211395801e-08,0.000000000000000000e+00
3.901922786000000087e+02,3.552999999999999906e-11,1.859741203013692273e-08,6.607660494307648580e-19
3.902009833000000185e+02,0.000000000000000000e+00,1.860117466057764076e-08,0.000000000000000000e+00
3.902097180999999750e+02,0.000000000000000000e+00,1.860495030182586476e-08,0.000000000000000000e+00
3.902184227999999848e+02,0.000000000000000000e+00,1.860871293226658610e-08,0.000000000000000000e+00
3.902271175000000198e+02,0.000000000000000000e+00,1.861247124017989739e-08,0.000000000000000000e+00
3.902358522000000107e+02,0.000000000000000000e+00,1.861624683820286211e-08,0.000000000000000000e+00
3.902445569000000205e+02,1.768000000000000060e-11,1.862000946864358015e-08,3.292017674056185097e-19
3.902532615999999734e+02,2.105999999999999952e-11,1.862377209908427833e-08,3.922166404067148686e-19
3.902619862999999896e+02,0.000000000000000000e+00,1.862754337457983300e-08,0.000000000000000000e+00
3.902706909999999993e+02,0.000000000000000000e+00,1.863130600502055434e-08,0.000000000000000000e+00
3.902793957000000091e+02,2.227000000000000103e-11,1.863506863546127237e-08,4.150029785117225363e-19
3.902881305000000225e+02,2.807999999999999829e-11,1.863884427670951953e-08,5.233787472900032877e-19
3.902968252000000007e+02,1.325999999999999964e-11,1.864260258462281097e-08,2.472009102720984820e-19
3.903055299000000105e+02,1.559999999999999977e-11,1.864636521506352900e-08,2.908832973549910666e-19
3.903142646000000013e+02,6.499999999999999526e-11,1.865014081308649372e-08,1.212259152850621992e-18
3.903229693000000111e+02,0.000000000000000000e+00,1.865390344352721176e-08,0.000000000000000000e+00
3.903316639999999893e+02,1.546999999999999931e-11,1.865766175144050320e-08,2.886340272947845479e-19
3.903403686999999991e+02,0.000000000000000000e+00,1.866142438188122454e-08,0.000000000000000000e+00
3.903491033999999900e+02,1.750999999999999950e-11,1.866519997990418595e-08,3.268276516481222715e-19
3.903578082000000222e+02,0.000000000000000000e+00,1.866896265357018973e-08,0.000000000000000000e+00
3.903665128999999752e+02,3.257999999999999890e-11,1.867272528401088460e-08,6.083573897530746036e-19
3.903752375999999913e+02,0.000000000000000000e+00,1.867649655950644258e-08,0.000000000000000000e+00
3.903839423000000011e+02,3.587999999999999656e-11,1.868025918994716392e-08,6.702476997353042160e-19
3.903926470000000108e+02,2.265999999999999917e-11,1.868402182038788195e-08,4.233799344499894085e-19
3.904013517000000206e+02,3.191999999999999808e-11,1.868778445082860329e-08,5.965140796704489559e-19
3.904100763999999799e+02,6.629999999999999820e-12,1.869155572632413481e-08,1.239250144655290149e-19
3.904187810999999897e+02,1.088000000000000049e-11,1.869531835676485615e-08,2.034050637216016390e-19
3.904274859000000220e+02,1.853999999999999814e-11,1.869908103043085993e-08,3.466809623041881253e-19
3.904361905999999749e+02,9.360000000000000506e-12,1.870284366087155480e-08,1.750586166657577574e-19
3.904448853000000099e+02,4.589999999999999789e-11,1.870660196878486940e-08,8.586330303672254582e-19
3.904536200000000008e+02,1.039999999999999931e-11,1.871037756680783081e-08,1.945879266948014224e-19
3.904623247000000106e+02,6.930000000000000561e-12,1.871414019724855215e-08,1.296889915669324765e-19
3.904710294000000204e+02,9.690000000000000918e-12,1.871790282768927018e-08,1.813764784003090359e-19
3.904797240999999985e+02,1.173000000000000111e-11,1.872166113560256162e-08,2.196050851206180464e-19
3.904884288000000083e+02,0.000000000000000000e+00,1.872542376604327965e-08,0.000000000000000000e+00
3.904971636000000217e+02,0.000000000000000000e+00,1.872919940729152681e-08,0.000000000000000000e+00
3.905058682999999746e+02,2.451000000000000118e-11,1.873296203773222168e-08,4.591448995448167463e-19
3.905145729999999844e+02,0.000000000000000000e+00,1.873672466817294303e-08,0.000000000000000000e+00
3.905232677000000194e+02,3.707999999999999629e-11,1.874048297608625763e-08,6.948971087532783218e-19
3.905319723999999724e+02,3.191999999999999808e-11,1.874424560652695250e-08,5.983163197603403287e-19
3.905406770999999821e+02,1.248000000000000014e-11,1.874800823696767384e-08,2.339751427973565758e-19
3.905493817999999919e+02,0.000000000000000000e+00,1.875177086740839187e-08,0.000000000000000000e+00
3.905581065000000081e+02,2.209999999999999994e-11,1.875554214290394985e-08,4.144974813581772957e-19
3.905668112999999835e+02,4.680000000000000253e-12,1.875930481656993047e-08,8.779354654154728044e-20
3.905755159999999933e+02,2.580000000000000073e-11,1.876306744701064850e-08,4.840871401328747608e-19
3.905842207000000030e+02,3.023999999999999716e-11,1.876683007745136984e-08,5.675089415421293770e-19
3.905929153999999812e+02,1.463000000000000208e-11,1.877058838536465797e-08,2.746137080778849994e-19
3.906016200999999910e+02,3.686000000000000248e-11,1.877435101580537931e-08,6.920225784425863629e-19
3.906103248000000008e+02,1.151999999999999938e-11,1.877811364624609734e-08,2.163238692047550333e-19
3.906190295000000106e+02,0.000000000000000000e+00,1.878187627668681868e-08,0.000000000000000000e+00
3.906277241999999887e+02,2.538000000000000050e-11,1.878563458460010682e-08,4.767794057571507020e-19
3.906364288999999985e+02,9.690000000000000918e-12,1.878939721504082816e-08,1.820692590137456476e-19
3.906451637000000119e+02,2.470000000000000179e-12,1.879317285628907532e-08,4.641913695503401927e-20
3.906538684000000217e+02,2.538000000000000050e-11,1.879693548672979335e-08,4.770662226532021223e-19
3.906625630999999998e+02,1.151999999999999938e-11,1.880069379464308479e-08,2.165839925142883215e-19
3.906712678000000096e+02,6.839999999999999935e-12,1.880445642508380282e-08,1.286224819475732185e-19
3.906799725000000194e+02,3.689999999999999665e-11,1.880821905552452416e-08,6.940232831488549057e-19
